accession,protein_pathway,protein_dcid
HMDBP01228,dcs:KeggProteinPathwayAmilorideActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayAmiodaroneActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayAmlodipineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayAnileridineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayArbutamineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayAtenololActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayBendroflumethiazideActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayBenzocaineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayBetaxololActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayBevantololActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayBisoprololActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayBlueDiaperSyndrome,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayBopindololActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayBumetanideActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayBupivacaineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayBupranololActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayBuprenorphineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayCarfentanilActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayCarteololActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayCarvedilolActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayChloroprocaineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayChlorothiazideActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayChlorthalidoneActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayCitalopramActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayCocaineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayCodeineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayCyclothiazideActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayCystinuria,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayDesipramineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayDezocineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayDibucaineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayDihydromorphineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayDiltiazemActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayDimethylthiambuteneActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayDiphenoxylateActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayDisopyramideActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayDobutamineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayEpinephrineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayEplerenoneActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayEscitalopramActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayEsmololActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayEthacrynicAcidActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayEthylmorphineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayFelodipineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayFentanylActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayFlecainideActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayFluoxetineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayFosphenytoinAntiarrhythmicActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayFurosemideActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayGlucoseTransporterDefectSglt2,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayHartnupDisorder,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayHeroinActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayHydrochlorothiazideActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayHydrocodoneActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayHydroflumethiazideActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayHydromorphoneActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayIbutilideActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayIminoglycinuria,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayImipramineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayIndapamideActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayIsoprenalineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayIsradipineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayKetobemidoneActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayKidneyFunction,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayLabetalolActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayLactoseDegradation,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayLactoseIntolerance,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayLevallorphanActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayLevobunololActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayLevobupivacaineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayLevomethadylAcetateActionActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayLevorphanolActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayLidocaineAntiarrhythmicActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayLidocaineLocalAnaestheticActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayLysinuricProteinIntolerance,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayLysinuricProteinIntoleranceLpi,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayMepivacaineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayMethadoneActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayMethadylAcetateActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayMethyclothiazideActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayMetipranololActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayMetolazoneActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayMetoprololActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayMexiletineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayMorphineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayMuscleHeartContraction,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayNadololActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayNalbuphineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayNaloxoneActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayNaltrexoneActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayNebivololActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayNicotineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayNifedipineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayNimodipineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayNisoldipineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayNitrendipineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayOxprenololActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayOxybuprocaineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayOxycodoneActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayOxymorphoneActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayPenbutololActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayPentazocineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayPhenytoinAntiarrhythmicActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayPindololActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayPolythiazideActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayPractololActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayPrilocaineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayProcainamideAntiarrhythmicActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayProcaineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayProparacaineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayPropoxypheneActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayPropranololActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayQuinethazoneActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayQuinidineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayRemifentanilActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayRopivacaineActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwaySotalolActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwaySpironolactoneActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwaySufentanilActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayTimololActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayTocainideActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayTorsemideActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayTramadolActionActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayTrehaloseDegradation,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayTriamtereneActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayTrichlormethiazideActionPathway,bio/AT1B1_HUMAN
HMDBP01228,dcs:KeggProteinPathwayVerapamilActionPathway,bio/AT1B1_HUMAN
HMDBP01230,,bio/YES_HUMAN
HMDBP01231,,bio/ATM_HUMAN
HMDBP01233,,bio/DYR1B_HUMAN
HMDBP01234,,bio/FGFR4_HUMAN
HMDBP01235,,bio/MKNK2_HUMAN
HMDBP01236,dcs:KeggProteinPathwayFcEpsilonReceptorISignalingInMastCells,bio/PK3CA_HUMAN
HMDBP01236,dcs:KeggProteinPathwayInositolMetabolism,bio/PK3CA_HUMAN
HMDBP01236,dcs:KeggProteinPathwayIntracellularSignallingThroughAdenosineReceptorA2AAndAdenosine,bio/PK3CA_HUMAN
HMDBP01236,dcs:KeggProteinPathwayIntracellularSignallingThroughAdenosineReceptorA2BAndAdenosine,bio/PK3CA_HUMAN
HMDBP01236,dcs:KeggProteinPathwayJoubertSyndrome,bio/PK3CA_HUMAN
HMDBP01236,dcs:KeggProteinPathwayPhosphatidylinositolPhosphateMetabolism,bio/PK3CA_HUMAN
HMDBP01237,,bio/TGFR2_HUMAN
HMDBP01238,,bio/BMX_HUMAN
HMDBP01239,,bio/AT10D_HUMAN
HMDBP01240,,bio/PIM3_HUMAN
HMDBP01241,,bio/HUNK_HUMAN
HMDBP01242,,bio/ST38L_HUMAN
HMDBP01243,,bio/MARK4_HUMAN
HMDBP01244,,bio/TRPM6_HUMAN
HMDBP01245,,bio/INSRR_HUMAN
HMDBP01246,,bio/EPHA2_HUMAN
HMDBP01247,,bio/AT8A2_HUMAN
HMDBP01248,,bio/CHK2_HUMAN
HMDBP01251,,bio/AT2C2_HUMAN
HMDBP01252,,bio/P3C2B_HUMAN
HMDBP01253,,bio/PAK6_HUMAN
HMDBP01254,,bio/CLK1_HUMAN
HMDBP01255,dcs:KeggProteinPathwayAlzheimerSDisease,bio/AT2A3_HUMAN
HMDBP01255,dcs:KeggProteinPathwayCalciumSignalingPathway,bio/AT2A3_HUMAN
HMDBP01255,dcs:KeggProteinPathwayPancreaticSecretion,bio/AT2A3_HUMAN
HMDBP01256,,bio/HCK_HUMAN
HMDBP01257,,bio/VATC1_HUMAN
HMDBP01258,,bio/SGK1_HUMAN
HMDBP01259,,bio/DAPK1_HUMAN
HMDBP01260,,bio/HIPK3_HUMAN
HMDBP01262,,bio/ARBK1_HUMAN
HMDBP01263,,bio/MK03_HUMAN
HMDBP01264,,bio/NEK6_HUMAN
HMDBP01265,,bio/DDR2_HUMAN
HMDBP01266,,bio/STK10_HUMAN
HMDBP01267,,bio/PAK4_HUMAN
HMDBP01268,,bio/CDK13_HUMAN
HMDBP01269,,bio/NUAK1_HUMAN
HMDBP01270,,bio/VRK1_HUMAN
HMDBP01271,,bio/PIM1_HUMAN
HMDBP01272,dcs:KeggProteinPathwayBevacizumabActionPathway,bio/VGFR2_HUMAN
HMDBP01272,dcs:KeggProteinPathwayVatalanibActionPathway,bio/VGFR2_HUMAN
HMDBP01274,,bio/VATG2_HUMAN
HMDBP01275,,bio/ATPO_HUMAN
HMDBP01276,dcs:KeggProteinPathwayInositolMetabolism,bio/FYV1_HUMAN
HMDBP01276,dcs:KeggProteinPathwayJoubertSyndrome,bio/FYV1_HUMAN
HMDBP01276,dcs:KeggProteinPathwayPhosphatidylinositolPhosphateMetabolism,bio/FYV1_HUMAN
HMDBP01277,,bio/BRSK2_HUMAN
HMDBP01278,,bio/MARK1_HUMAN
HMDBP01279,,bio/PIM2_HUMAN
HMDBP01280,,bio/NEK3_HUMAN
HMDBP01281,,bio/FAK1_HUMAN
HMDBP01282,,bio/ATP5J_HUMAN
HMDBP01283,dcs:KeggProteinPathwayIntracellularSignallingThroughAdenosineReceptorA2AAndAdenosine,bio/KS6A1_HUMAN
HMDBP01283,dcs:KeggProteinPathwayIntracellularSignallingThroughAdenosineReceptorA2BAndAdenosine,bio/KS6A1_HUMAN
HMDBP01284,,bio/PNKP_HUMAN
HMDBP01285,,bio/STK35_HUMAN
HMDBP01286,dcs:KeggProteinPathwayInositolMetabolism,bio/IPMK_HUMAN
HMDBP01286,dcs:KeggProteinPathwayInositolPhosphateMetabolism,bio/IPMK_HUMAN
HMDBP01287,,bio/PRP4B_HUMAN
HMDBP01288,,bio/TGFR1_HUMAN
HMDBP01289,,bio/PLK4_HUMAN
HMDBP01290,dcs:KeggProteinPathwayPurineMetabolism,bio/PNPT1_HUMAN
HMDBP01290,dcs:KeggProteinPathwayPyrimidineMetabolism,bio/PNPT1_HUMAN
HMDBP01290,dcs:KeggProteinPathwayRnaDegradation,bio/PNPT1_HUMAN
HMDBP01291,,bio/TNK1_HUMAN
HMDBP01292,,bio/ARBK2_HUMAN
HMDBP01293,,bio/CDK12_HUMAN
HMDBP01294,,bio/VATB1_HUMAN
HMDBP01295,,bio/KCC1G_HUMAN
HMDBP01296,,bio/EPHB4_HUMAN
HMDBP01297,,bio/TSSK2_HUMAN
HMDBP01298,,bio/CERT_HUMAN
HMDBP01299,,bio/CLK2_HUMAN
HMDBP01300,,bio/NEK9_HUMAN
HMDBP01301,dcs:KeggProteinPathwayOxidativePhosphorylation,bio/AT12A_HUMAN
HMDBP01302,dcs:KeggProteinPathwayIntracellularSignallingThroughAdenosineReceptorA2AAndAdenosine,bio/IKKB_HUMAN
HMDBP01302,dcs:KeggProteinPathwayIntracellularSignallingThroughAdenosineReceptorA2BAndAdenosine,bio/IKKB_HUMAN
HMDBP01304,,bio/MK09_HUMAN
HMDBP01305,,bio/FGFR2_HUMAN
HMDBP01307,,bio/VPP4_HUMAN
HMDBP01308,,bio/ATR_HUMAN
HMDBP01309,,bio/JAK1_HUMAN
HMDBP01310,,bio/AT1B4_HUMAN
HMDBP01314,,bio/CSF1R_HUMAN
HMDBP01315,,bio/ATP8_HUMAN
HMDBP01316,,bio/KKCC1_HUMAN
HMDBP01317,,bio/AURKA_HUMAN
HMDBP01318,,bio/MOS_HUMAN
HMDBP01319,,bio/AKT2_HUMAN
HMDBP01320,,bio/DYRK2_HUMAN
HMDBP01321,,bio/KCC1A_HUMAN
HMDBP01322,dcs:KeggProteinPathwayFcEpsilonReceptorISignalingInMastCells,bio/FYN_HUMAN
HMDBP01323,,bio/VRK2_HUMAN
HMDBP01324,,bio/PRKDC_HUMAN
HMDBP01325,,bio/WNK4_HUMAN
HMDBP01326,,bio/EPHA7_HUMAN
HMDBP01327,,bio/MK13_HUMAN
HMDBP01329,,bio/ABL2_HUMAN
HMDBP01330,,bio/ULK1_HUMAN
HMDBP01331,,bio/MERTK_HUMAN
HMDBP01332,,bio/PLK3_HUMAN
HMDBP01334,,bio/M3K7_HUMAN
HMDBP01336,dcs:KeggProteinPathwayIntracellularSignallingThroughAdenosineReceptorA2AAndAdenosine,bio/MK11_HUMAN
HMDBP01336,dcs:KeggProteinPathwayIntracellularSignallingThroughAdenosineReceptorA2BAndAdenosine,bio/MK11_HUMAN
HMDBP01337,,bio/CTRO_HUMAN
HMDBP01338,,bio/ATP5I_HUMAN
HMDBP01339,,bio/SGK2_HUMAN
HMDBP01340,,bio/NEK2_HUMAN
HMDBP01341,,bio/PRPK_HUMAN
HMDBP01342,dcs:KeggProteinPathwayCollectingDuctAcidSecretion,bio/VATA_HUMAN
HMDBP01342,dcs:KeggProteinPathwayEpithelialCellSignalingInHelicobacterPyloriInfection,bio/VATA_HUMAN
HMDBP01342,dcs:KeggProteinPathwayOxidativePhosphorylation,bio/VATA_HUMAN
HMDBP01342,dcs:KeggProteinPathwayPhagosome,bio/VATA_HUMAN
HMDBP01342,dcs:KeggProteinPathwayRheumatoidArthritis,bio/VATA_HUMAN
HMDBP01342,dcs:KeggProteinPathwaySynapticVesicleCycle,bio/VATA_HUMAN
HMDBP01342,dcs:KeggProteinPathwayVibrioCholeraeInfection,bio/VATA_HUMAN
HMDBP01343,dcs:KeggProteinPathwayMitochondrialElectronTransportChain,bio/ATPG_HUMAN
HMDBP01344,,bio/MAK_HUMAN
HMDBP01345,,bio/EPHA1_HUMAN
HMDBP01346,,bio/KKCC2_HUMAN
HMDBP01347,dcs:KeggProteinPathwayCalciumSignalingPathway,bio/AT2B4_HUMAN
HMDBP01347,dcs:KeggProteinPathwayPancreaticSecretion,bio/AT2B4_HUMAN
HMDBP01347,dcs:KeggProteinPathwaySalivarySecretion,bio/AT2B4_HUMAN
HMDBP01349,,bio/VA0D1_HUMAN
HMDBP01350,,bio/ACK1_HUMAN
HMDBP01352,dcs:KeggProteinPathwayAcebutololActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayAlprenololActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayAmiodaroneActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayAmlodipineActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayArbutamineActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayAtenololActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayBetaxololActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayBevantololActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayBisoprololActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayBopindololActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayBupranololActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayCarteololActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayCarvedilolActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayDiltiazemActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayDisopyramideActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayDobutamineActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayEpinephrineActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayEsmololActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayFelodipineActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayFlecainideActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayFosphenytoinAntiarrhythmicActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayIbutilideActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayIsoprenalineActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayIsradipineActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayLabetalolActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayLevobunololActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayLidocaineAntiarrhythmicActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayMetipranololActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayMetoprololActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayMexiletineActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayMuscleHeartContraction,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayNadololActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayNebivololActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayNifedipineActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayNimodipineActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayNisoldipineActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayNitrendipineActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayOxprenololActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayPenbutololActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayPhenytoinAntiarrhythmicActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayPindololActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayPractololActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayProcainamideAntiarrhythmicActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayPropranololActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayQuinidineActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwaySotalolActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayTimololActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayTocainideActionPathway,bio/KAPCA_HUMAN
HMDBP01352,dcs:KeggProteinPathwayVerapamilActionPathway,bio/KAPCA_HUMAN
HMDBP01353,,bio/TSSK4_HUMAN
HMDBP01354,,bio/PI42B_HUMAN
HMDBP01355,,bio/PGFRA_HUMAN
HMDBP01356,,bio/LCK_HUMAN
HMDBP01358,,bio/JAK3_HUMAN
HMDBP01359,,bio/AT8A1_HUMAN
HMDBP01360,,bio/CDK9_HUMAN
HMDBP01361,,bio/MUSK_HUMAN
HMDBP01362,,bio/FGFR3_HUMAN
HMDBP01363,,bio/AKT3_HUMAN
HMDBP01364,,bio/CDK1_HUMAN
HMDBP01366,dcs:KeggProteinPathwayFcEpsilonReceptorISignalingInMastCells,bio/MP2K4_HUMAN
HMDBP01368,,bio/EPHA3_HUMAN
HMDBP01369,,bio/DCLK1_HUMAN
HMDBP01370,,bio/TEC_HUMAN
HMDBP01371,,bio/M3K10_HUMAN
HMDBP01372,dcs:KeggProteinPathwayAcrivastineH1AntihistamineAction,bio/KPCB_HUMAN
HMDBP01372,dcs:KeggProteinPathwayAlcaftadineH1AntihistamineAction,bio/KPCB_HUMAN
HMDBP01372,dcs:KeggProteinPathwayAlimemazineH1AntihistamineAction,bio/KPCB_HUMAN
HMDBP01372,dcs:KeggProteinPathwayAntazolineH1AntihistamineAction,bio/KPCB_HUMAN
HMDBP01372,dcs:KeggProteinPathwayAstemizoleH1AntihistamineAction,bio/KPCB_HUMAN
HMDBP01372,dcs:KeggProteinPathwayAzatadineH1AntihistamineAction,bio/KPCB_HUMAN
HMDBP01372,dcs:KeggProteinPathwayAzelastineH1AntihistamineAction,bio/KPCB_HUMAN
HMDBP01372,dcs:KeggProteinPathwayBamipineH1AntihistamineAction,bio/KPCB_HUMAN
HMDBP01372,dcs:KeggProteinPathwayBepotastineH1AntihistamineAction,bio/KPCB_HUMAN
HMDBP01372,dcs:KeggProteinPathwayBetahistineH1AntihistamineAction,bio/KPCB_HUMAN
HMDBP01372,dcs:KeggProteinPathwayBilastineH1AntihistamineAction,bio/KPCB_HUMAN
HMDBP01372,dcs:KeggProteinPathwayBromodiphenhydramineH1AntihistamineAction,bio/KPCB_HUMAN
HMDBP01372,dcs:KeggProteinPathwayBrompheniramineH1AntihistamineAction,bio/KPCB_HUMAN
HMDBP01372,dcs:KeggProteinPathwayBuclizineH1AntihistamineAction,bio/KPCB_HUMAN
