accession,protein_type,general_function,specific_function,subcellular_location,residue_number,genbank_protein_id,uniprot_id,genbank_gene_id,genecard_id,hgnc_id,protein_dcid,gene19_dcid,gene38_dcid
HMDBP07790,dcs:ProteinTypeUnknown,"""Involved in calcium ion binding""","""nan""",dcs:CellularCompartmentMembrane,999,205361109,Q6DN14,NM_024717.4,MCTP1,26183,bio/MCTP1_HUMAN,bio/hg19_MCTP1,bio/hg38_MCTP1
HMDBP07791,dcs:ProteinTypeUnknown,"""Involved in calcium ion binding""","""nan""",dcs:CellularCompartmentMembrane,878,227496440,Q6DN12,NM_018349.3,MCTP2,25636,bio/MCTP2_HUMAN,bio/hg19_MCTP2,bio/hg38_MCTP2
HMDBP07792,dcs:ProteinTypeUnknown,"""Involved in receptor binding""","""Could be involved in calcium-dependent cell adhesion or intercellular interactions""",dcs:CellularCompartmentSecreted,255,158259573,P55083,AK293056,MFAP4,7035,bio/MFAP4_HUMAN,bio/hg19_MFAP4,bio/hg38_MFAP4
HMDBP07793,dcs:ProteinTypeUnknown,"""Involved in metal ion binding""","""Magnesium-dependent phosphatase which may act as a tyrosine phosphatase (By similarity).""",,176,33457311,Q86V88,NM_138476.2,MDP1,28781,bio/MGDP1_HUMAN,bio/hg19_MDP1,bio/hg38_MDP1
HMDBP07794,dcs:ProteinTypeUnknown,"""Involved in metalloendopeptidase activity""","""Cleaves proteins, imported into the mitochondrion, to their mature size""",dcs:CellularCompartmentMitochondrionMatrix,713,158257278,Q99797,AK291923,MIPEP,7104,bio/MIPEP_HUMAN,bio/hg19_MIPEP,bio/hg38_MIPEP
HMDBP07795,dcs:ProteinTypeUnknown,"""Involved in protein binding""","""Plays a role in the regulation of immunoreceptor signaling, including PLC-gamma-mediated B-cell antigen receptor (BCR) signaling and FC-epsilon R1-mediated mast cell degranulation. Involved in phosphorylation of LAT""",,428,193083221,Q7Z7G1,NM_052964.2,CLNK,17438,bio/CLNK_HUMAN,bio/hg19_CLNK,bio/hg38_CLNK
HMDBP07796,dcs:ProteinTypeUnknown,"""Involved in calcium ion binding""","""Regulatory light chain of myosin. Does not bind calcium""",,194,17986273,P05976,NM_079420.2,MYL1,7582,bio/MYL1_HUMAN,bio/hg19_MYL1,bio/hg38_MYL1
HMDBP07798,dcs:ProteinTypeUnknown,"""Involved in calcium ion binding""","""nan""",,175,189053188,Q01449,AK311869,MYL7,21719,bio/MLRA_HUMAN,bio/hg19_MYL7,bio/hg38_MYL7
HMDBP07799,dcs:ProteinTypeUnknown,"""Involved in calcium ion binding""","""nan""",,169,14029704,Q96A32,AF363061,MYLPF,29824,bio/MLRS_HUMAN,bio/hg19_MYLPF,bio/hg38_MYLPF
HMDBP07800,dcs:ProteinTypeUnknown,"""Involved in calcium ion binding""","""nan""",,166,2460247,P10916,AF020768,MYL2,7583,bio/MLRV_HUMAN,bio/hg19_MYL2,bio/hg38_MYL2
HMDBP07801,dcs:ProteinTypeUnknown,"""Involved in metalloendopeptidase activity""","""Can degrade fibronectin, gelatins of type I, III, IV, and V; weakly collagens III, IV, and V. Activates procollagenase""",dcs:CellularCompartmentSecreted,476,36629,P09238,X07820,MMP10,7156,bio/MMP10_HUMAN,bio/hg19_MMP10,bio/hg38_MMP10
HMDBP07802,dcs:ProteinTypeUnknown,"""Involved in metalloendopeptidase activity""","""May play an important role in the progression of epithelial malignancies""",dcs:CellularCompartmentSecreted,488,456257,P24347,X57766,MMP11,7157,bio/MMP11_HUMAN,bio/hg19_MMP11,bio/hg38_MMP11
HMDBP07803,dcs:ProteinTypeUnknown,"""Involved in metalloendopeptidase activity""","""May be involved in tissue injury and remodeling. Has significant elastolytic activity. Can accept large and small amino acids at the P1' site, but has a preference for leucine. Aromatic or hydrophobic residues are preferred at the P1 site, with small hydrophobic residues (preferably alanine) occupying P3""",dcs:CellularCompartmentSecreted,470,,P39900,AK313959,MMP12,7158,bio/MMP12_HUMAN,bio/hg19_MMP12,bio/hg38_MMP12
HMDBP07804,dcs:ProteinTypeUnknown,"""Involved in metalloendopeptidase activity""","""Endopeptidase that degrades various components of the extracellular matrix. May activate progelatinase A""",dcs:CellularCompartmentMembrane,669,963056,P51511,Z48482,MMP15,7161,bio/MMP15_HUMAN,bio/hg19_MMP15,bio/hg38_MMP15
HMDBP07805,dcs:ProteinTypeUnknown,"""Involved in metalloendopeptidase activity""","""Endopeptidase that degrades various components of the extracellular matrix, such as collagen type III and fibronectin. Activates progelatinase A. Involved in the matrix remodeling of blood vessels. Isoform short cleaves fibronectin and also collagen type III, but at lower rate. It has no effect on type I, II, IV and V collagen. However, upon interaction with CSPG4, it may be involved in degradation and invasion of type I collagen by melanoma cells""",dcs:CellularCompartmentExtracellularSpace,607,2662306,P51512,AB009303,MMP16,7162,bio/MMP16_HUMAN,bio/hg19_MMP16,bio/hg38_MMP16
HMDBP07806,dcs:ProteinTypeUnknown,"""Involved in metalloendopeptidase activity""","""Endopeptidase that degrades various components of the extracellular matrix, such as fibrin. May be involved in the activation of membrane-bound precursors of growth factors or inflammatory mediators, such as tumor necrosis factor-alpha. May also be involved in tumoral process. Not obvious if able to proteolytically activate progelatinase A. Does not hydrolyze collagen types I, II, III, IV and V, gelatin, fibronectin, laminin, decorin nor alpha1-antitrypsin""",dcs:CellularCompartmentLipidAnchor,603,112382270,Q9ULZ9,NM_016155.4,MMP17,7163,bio/MMP17_HUMAN,bio/hg19_MMP17,bio/hg38_MMP17
HMDBP07807,dcs:ProteinTypeUnknown,"""Involved in metalloendopeptidase activity""","""Endopeptidase that degrades various components of the extracellular matrix, such as aggrecan and cartilage oligomeric matrix protein (comp), during development, haemostasis and pathological conditions (arthritic disease). May also play a role in neovascularization or angiogenesis. Hydrolyzes collagen type IV, laminin, nidogen, nascin-C isoform, fibronectin, and type I gelatin""",dcs:CellularCompartmentSecreted,508,1702930,Q99542,Y08622,MMP19,7165,bio/MMP19_HUMAN,bio/hg19_MMP19,bio/hg38_MMP19
HMDBP07808,dcs:ProteinTypeUnknown,"""Involved in metalloendopeptidase activity""","""May have an important and specific function in tumor progression and embryogenesis. Cleaves alpha-1-antitrypsin""",dcs:CellularCompartmentSecreted,569,22134532,Q8N119,AF331526,MMP21,14357,bio/MMP21_HUMAN,bio/hg19_MMP21,bio/hg38_MMP21
HMDBP07809,dcs:ProteinTypeUnknown,"""Involved in metalloendopeptidase activity""","""Activates progelatinase A. May also be a proteoglycanase involved in degradation of proteoglycans, such as dermatan sulfate and chondroitin sulfate proteoglycans. Cleaves partially fibronectin, but not collagen type I, nor laminin""",dcs:CellularCompartmentExtracellularSpace,645,5381386,Q9Y5R2,AF131284,MMP24,7172,bio/MMP24_HUMAN,bio/hg19_MMP24,bio/hg38_MMP24
HMDBP07810,dcs:ProteinTypeUnknown,"""Involved in metalloendopeptidase activity""","""May activate progelatinase A""",dcs:CellularCompartmentCellMembrane,562,8546817,Q9NPA2,AJ239053,MMP25,14246,bio/MMP25_HUMAN,bio/hg19_MMP25,bio/hg38_MMP25
HMDBP07811,dcs:ProteinTypeUnknown,"""Involved in metalloendopeptidase activity""","""May hydrolyze collagen type IV, fibronectin, fibrinogen, beta-casein, type I gelatin and alpha-1 proteinase inhibitor. Is also able to activates progelatinase B""",dcs:CellularCompartmentSecreted,261,8843950,Q9NRE1,AF230354,MMP26,14249,bio/MMP26_HUMAN,bio/hg19_MMP26,bio/hg38_MMP26
HMDBP07812,dcs:ProteinTypeUnknown,"""Involved in metalloendopeptidase activity""","""Matrix metalloproteinases degrade protein components of the extracellular matrix such as fibronectin, laminin, gelatins and/or collagens""",dcs:CellularCompartmentSecreted,513,11066090,Q9H306,AF195192,MMP27,14250,bio/MMP27_HUMAN,bio/hg19_MMP27,bio/hg38_MMP27
HMDBP07813,dcs:ProteinTypeUnknown,"""Involved in metalloendopeptidase activity""","""Can degrade casein. Could play a role in tissues homeostasis and repair""",dcs:CellularCompartmentSecreted,520,11935132,Q9H239,AF315683,MMP28,14366,bio/MMP28_HUMAN,bio/hg19_MMP28,bio/hg38_MMP28
HMDBP07814,dcs:ProteinTypeUnknown,"""Involved in metalloendopeptidase activity""","""Can degrade fibrillar type I, II, and III collagens""",dcs:CellularCompartmentSecreted,467,,P22894,J05556,MMP8,7175,bio/MMP8_HUMAN,bio/hg19_MMP8,bio/hg38_MMP8
HMDBP07815,dcs:ProteinTypeUnknown,"""Involved in sugar binding""","""May play a role as endocytotic lectin receptor displaying calcium-dependent lectin activity. Internalizes glycosylated ligands from the extracellular space for release in an endosomal compartment via clathrin-mediated endocytosis. May be involved in plasminogen activation system controlling the extracellular level of PLAUR/PLAU, and thus may regulate protease activity at the cell surface. May contribute to cellular uptake, remodeling and degradation of extracellular collagen matrices. May play a role during cancer progression as well as in other chronic tissue destructive diseases acting on collagen turnover. May participate in remodeling of extracellular matrix co-operating with the matrix metalloproteinases (MMPs)""",dcs:CellularCompartmentMembrane,1479,110624774,Q9UBG0,NM_006039.3,MRC2,16875,bio/MRC2_HUMAN,bio/hg19_MRC2,bio/hg38_MRC2
HMDBP07816,dcs:ProteinTypeUnknown,"""Involved in G-protein coupled receptor protein signaling pathway""","""Orphan receptor. Probably involved in the function of nociceptive neurons. May regulate nociceptor function and/or development, including the sensation or modulation of pain. Potently activated by enkephalins including BAM22 (bovine adrenal medulla peptide 22) and BAM (8-22). BAM22 is the most potent compound and evoked a large and dose-dependent release of intracellular calcium in stably transfected cells. G(alpha)q proteins are involved in the calcium-signaling pathway. Activated by the antimalarial drug, chloroquine. May mediate chloroquine- induced itch, in an histamine-independent manner""",dcs:CellularCompartmentCellMembrane,322,21928957,Q96LB2,AB065846,MRGPRX1,17962,bio/MRGX1_HUMAN,bio/hg19_MRGPRX1,bio/hg38_MRGPRX1
HMDBP07817,dcs:ProteinTypeUnknown,"""Involved in calcium ion binding""","""Myosin regulatory subunit that plays an important role in regulation of both smooth muscle and nonmuscle cell contractile activity via its phosphorylation. Phosphorylation triggers actin polymerization in vascular smooth muscle. Implicated in cytokinesis, receptor capping, and cell locomotion""",,172,15076511,O14950,AB046614,MYL12B,29827,bio/ML12B_HUMAN,bio/hg19_MYL12B,bio/hg38_MYL12B
HMDBP07818,dcs:ProteinTypeUnknown,"""nan""","""Play a role as NO/PRKG1-dependent regulator of IP3- induced calcium release; its phosphorylation by PRKG1 inhibits bradykinin and IP3-induced calcium release from intracellular stores. Recruits PRKG1 to the endoplasmic reticulum and may mediate the assembly of PRKG1 and ITPR1 in a macrocomplex. Involved in PRKG1 signaling cascade leading to inhibition of platelet activation and aggregation. Mediates also NO-dependent inhibition of calcium signaling in gastrointestinal smooth muscle contributing to NO-dependent relaxation""",dcs:CellularCompartmentCytoplasm,885,148728182,Q9Y6F6,,MRVI1,7237,bio/MRVI1_HUMAN,bio/hg19_MRVI1,bio/hg38_MRVI1
HMDBP07819,dcs:ProteinTypeUnknown,"""Involved in anatomical structure morphogenesis""","""Plays a role in cell adhesion, and in cohesion of the endothelial monolayer at intercellular junctions in vascular tissue. Its expression may allow melanoma cells to interact with cellular elements of the vascular system, thereby enhancing hematogeneous tumor spread. Could be an adhesion molecule active in neural crest cells during embryonic development. Acts as surface receptor that triggers tyrosine phosphorylation of FYN and PTK2, and a transient increase in the intracellular calcium concentration""",dcs:CellularCompartmentMembrane,646,71274107,P43121,NM_006500.2,MCAM,6934,bio/MUC18_HUMAN,bio/hg19_MCAM,bio/hg38_MCAM
HMDBP07820,dcs:ProteinTypeUnknown,"""Involved in calcium ion binding""","""Acts as a calcium-dependent cell adhesion protein""",dcs:CellularCompartmentCellMembrane,845,10334770,Q9HBB8,AF258674,CDHR5,7521,bio/CDHR5_HUMAN,bio/hg19_CDHR5,bio/hg38_CDHR5
HMDBP07821,dcs:ProteinTypeUnknown,"""Involved in calcium ion binding""","""Regulatory light chain of myosin. Does not bind calcium""",,195,9651188,P08590,AF174483,MYL3,7584,bio/MYL3_HUMAN,bio/hg19_MYL3,bio/hg38_MYL3
HMDBP07822,dcs:ProteinTypeUnknown,"""Involved in calcium ion binding""","""Regulatory light chain of myosin. Does not bind calcium""",,197,50845428,P12829,NM_001002841.1,MYL4,7585,bio/MYL4_HUMAN,bio/hg19_MYL4,bio/hg38_MYL4
HMDBP07823,dcs:ProteinTypeUnknown,"""Involved in calcium ion binding""","""nan""",,173,4505305,Q02045,NM_002477.1,MYL5,7586,bio/MYL5_HUMAN,bio/hg19_MYL5,bio/hg38_MYL5
HMDBP07824,dcs:ProteinTypeUnknown,"""Involved in calcium ion binding""","""Regulatory light chain of myosin. Does not bind calcium""",,151,15076509,P60660,AB046613,MYL6,7587,bio/MYL6_HUMAN,bio/hg19_MYL6,bio/hg38_MYL6
HMDBP07825,dcs:ProteinTypeUnknown,"""Involved in calcium ion binding""","""Regulatory light chain of myosin. Does not bind calcium""",,208,15214600,P14649,BC012425,MYL6B,29823,bio/MYL6B_HUMAN,bio/hg19_MYL6B,bio/hg38_MYL6B
HMDBP07826,dcs:ProteinTypeUnknown,"""Involved in calcium ion binding""","""Myosin regulatory subunit that plays an important role in regulation of both smooth muscle and nonmuscle cell contractile activity via its phosphorylation. Implicated in cytokinesis, receptor capping, and cell locomotion""",,172,6983729,P24844,AL050318,MYL9,15754,bio/MYL9_HUMAN,bio/hg19_MYL9,bio/hg38_MYL9
HMDBP07827,dcs:ProteinTypeUnknown,"""Involved in calcium ion binding""","""nan""",,226,33877163,Q9BUA6,BC002778,MYL10,29825,bio/MYL10_HUMAN,bio/hg19_MYL10,bio/hg38_MYL10
HMDBP07828,dcs:ProteinTypeUnknown,"""Involved in motor activity""","""Myosins are actin-based motor molecules with ATPase activity. Unconventional myosins serve in intracellular movements. Myosin 6 is a reverse-direction motor protein that moves towards the minus-end of actin filaments. Has slow rate of actin-activated ADP release due to weak ATP binding. Functions in a variety of intracellular processes such as vesicular membrane trafficking and cell migration. Required for the structural integrity of the Golgi apparatus via the p53-dependent pro-survival pathway. Appears to be involved in a very early step of clathrin-mediated endocytosis in polarized epithelial cells. May act as a regulator of F-actin dynamics. May play a role in transporting DAB2 from the plasma membrane to specific cellular targets. Required for structural integrity of inner ear hair cells""",dcs:CellularCompartmentCellProjection,1294,92859701,Q9UM54,,MYO6,7605,bio/MYO6_HUMAN,bio/hg19_MYO6,bio/hg38_MYO6
HMDBP07829,dcs:ProteinTypeUnknown,"""Involved in motor activity""","""Myosins are actin-based motor molecules with ATPase activity. Unconventional myosins serve in intracellular movements. May be involved in the remodeling of the actin cytoskeleton. Binds actin with high affinity both in the absence and presence of ATP and its mechanochemical activity is inhibited by calcium ions. Also acts as a GTPase activating protein on Rho""",dcs:CellularCompartmentCytoplasm,2158,33356170,Q13459,NM_004145,MYO9B,7609,bio/MYO9B_HUMAN,bio/hg19_MYO9B,bio/hg38_MYO9B
HMDBP07830,dcs:ProteinTypeUnknown,"""Involved in immune response""","""Ligand for the NKG2D receptor, together with at least ULBP2 and ULBP3. ULBPs activate multiple signaling pathways in primary NK cells, resulting in the production of cytokines and chemokines. Binding of ULBPs ligands to NKG2D induces calcium mobilization and activation of the JAK2, STAT5, ERK and PI3K kinase/Akt signal transduction pathway. In CMV infected cells, interacts with soluble CMV glycoprotein UL16. The interaction with UL16 blocked the interaction with the NKG2D receptor, providing a mechanism by which CMV infected cells might escape the immune system. UL16 also causes ULBP1 to be retained in the ER and cis- Golgi apparatus so that it does not reach the cell surface""",dcs:CellularCompartmentCellMembrane,244,14530665,Q9BZM6,AB052907,ULBP1,14893,bio/ULBP1_HUMAN,bio/hg19_ULBP1,bio/hg38_ULBP1
HMDBP07831,dcs:ProteinTypeUnknown,"""Involved in immune response""","""Ligand for the NKG2D receptor, together with at least ULBP1 and ULBP3. ULBPs activate multiple signaling pathways in primary NK cells, resulting in the production of cytokines and chemokines. Binding of ULBPs ligands to NKG2D induces calcium mobilization and activation of the JAK2, STAT5, ERK and PI3K kinase/Akt signal transduction pathway. In CMV infected cells, interacts with soluble CMV glycoprotein UL16. The interaction with UL16 blocked the interaction with the NKG2D receptor, providing a mechanism by which CMV infected cells might escape the immune system. UL16 also causes ULBP2 to be retained in the ER and cis- Golgi apparatus so that it does not reach the cell surface""",dcs:CellularCompartmentCellMembrane,246,14530663,Q9BZM5,AB052906,ULBP2,14894,bio/ULBP2_HUMAN,bio/hg19_ULBP2,bio/hg38_ULBP2
HMDBP07832,dcs:ProteinTypeUnknown,"""Involved in immune response""","""Ligand for the NKG2D receptor, together with at least ULBP1 and ULBP2. ULBPs activate multiple signaling pathways in primary NK cells, resulting in the production of cytokines and chemokines. Binding of ULBPs ligands to NKG2D induces calcium mobilization and activation of the JAK2, STAT5, ERK and PI3K kinase/Akt signal transduction pathway. Has lower affinity for NKG2D compared to ULBP1 and ULBP2 and induces weaker signaling responses than does ULBP2 or ULBP1""",dcs:CellularCompartmentCellMembrane,244,14530667,Q9BZM4,AB052908,ULBP3,14895,bio/ULBP3_HUMAN,bio/hg19_ULBP3,bio/hg38_ULBP3
HMDBP07833,dcs:ProteinTypeUnknown,"""Involved in ion channel activity""","""Voltage-independent, cation-nonselective channel which is permeable to sodium, potassium and calcium ions. Responsible for the background sodium ion leak current in neurons and controls neuronal excitability. Activated either by neuropeptides substance P or neurotensin. Required for normal respiratory rhythm and neonatal survival""",dcs:CellularCompartmentMembrane,1738,24119274,Q8IZF0,NM_052867.2,NALCN,19082,bio/NALCN_HUMAN,bio/hg19_NALCN,bio/hg38_NALCN
HMDBP07834,dcs:ProteinTypeUnknown,"""Involved in calcium ion binding""","""May be involved in the calcium-dependent regulation of rhodopsin phosphorylation. Binds three calcium ions""",,193,13625184,P61601,AF251061,NCALD,7655,bio/NCALD_HUMAN,bio/hg19_NCALD,bio/hg38_NCALD
HMDBP07835,dcs:ProteinTypeUnknown,"""Involved in transmembrane transport""","""Cation exchanger involved in pigmentation, possibly by participating in ion transport in melanosomes. Probably transports 1 Ca(2+) and 1 K(+) in exchange for 4 Na(+)""",dcs:CellularCompartmentMelanosome,500,33341100,Q71RS6,AF348468,SLC24A5,20611,bio/NCKX5_HUMAN,bio/hg19_SLC24A5,bio/hg38_SLC24A5
HMDBP07836,dcs:ProteinTypeUnknown,"""Involved in transmembrane transport""","""Transports Ca(2+) in exchange for either Li(+) or Na(+), explaining how Li(+) catalyzes Ca(2+) exchange. In contrast to other members of the family its function is independent of K(+)""",dcs:CellularCompartmentCellMembrane,584,39995086,Q6J4K2,NM_024959.2,SLC24A6,26175,bio/NCLX_HUMAN,bio/hg19_SLC8B1,bio/hg38_SLC8B1
HMDBP07837,dcs:ProteinTypeUnknown,"""Involved in calcium ion binding""","""Neuronal calcium sensor, regulator of G protein-coupled receptor phosphorylation in a calcium dependent manner. Directly regulates GRK1 (RHOK), but not GRK2 to GRK5. Can substitute for calmodulin. Stimulates PI4KB kinase activity. Involved in long-term synaptic plasticity through its interaction with PICK1. May also play a role in neuron differentiation through inhibition of the activity of N- type voltage-gated calcium channel""",dcs:CellularCompartmentCellMembrane,190,9798526,P62166,X84048,NCS1,3953,bio/NCS1_HUMAN,bio/hg19_NCS1,bio/hg38_NCS1
HMDBP07838,dcs:ProteinTypeUnknown,"""Involved in serine-type endopeptidase activity""","""Involved in the processing of hormone and other protein precursors at sites comprised of pairs of basic amino acid residues. Substrates include POMC, renin, enkephalin, dynorphin, somatostatin and insulin""",dcs:CellularCompartmentCytoplasmicVesicle,753,35318,P29120,X64810,PCSK1,8743,bio/NEC1_HUMAN,bio/hg19_PCSK1,bio/hg38_PCSK1
HMDBP07839,dcs:ProteinTypeUnknown,"""Involved in calmodulin binding""","""Acts as a ""third messenger"" substrate of protein kinase C-mediated molecular cascades during synaptic development and remodeling. Binds to calmodulin in the absence of calcium""",,78,13872825,Q92686,AJ317956,NRGN,8000,bio/NEUG_HUMAN,bio/hg19_NRGN,bio/hg38_NRGN
HMDBP07840,dcs:ProteinTypeUnknown,"""Involved in sequence-specific DNA binding transcription factor activity""","""Plays a role in the inducible expression of cytokine genes in T-cells, especially in the induction of the IL-2""",dcs:CellularCompartmentNucleus,1075,27886561,Q12968,NM_173165.2,NFATC3,7777,bio/NFAC3_HUMAN,bio/hg19_NFATC3,bio/hg38_NFATC3
HMDBP07841,dcs:ProteinTypeUnknown,"""Involved in sequence-specific DNA binding transcription factor activity""","""Plays a role in the inducible expression of cytokine genes in T-cells, especially in the induction of the IL-2 and IL- 4. Transcriptionally repressed by estrogen receptors; this inhibition is further enhanced by estrogen. Increases the transcriptional activity of PPARG and has a direct role in adipocyte differentiation. May play an important role in myotube differentiation. May play a critical role in cardiac development and hypertrophy. May play a role in deafferentation-induced apoptosis of sensory neurons""",dcs:CellularCompartmentNucleus,902,27886563,Q14934,NM_004554.4,NFATC4,7778,bio/NFAC4_HUMAN,bio/hg19_NFATC4,bio/hg38_NFATC4
HMDBP07842,dcs:ProteinTypeUnknown,"""Involved in G-protein coupled receptor protein signaling pathway""","""This is a receptor for the tachykinin neuropeptide substance P. It is probably associated with G proteins that activate a phosphatidylinositol-calcium second messenger system. The rank order of affinity of this receptor to tachykinins is:substance P > substance K > neuromedin-K""",dcs:CellularCompartmentCellMembrane,407,,P25103,S62045,TACR1,11526,bio/NK1R_HUMAN,bio/hg19_TACR1,bio/hg38_TACR1
HMDBP07843,dcs:ProteinTypeUnknown,"""Involved in G-protein coupled receptor protein signaling pathway""","""This is a receptor for the tachykinin neuropeptide substance K (neurokinin A). It is associated with G proteins that activate a phosphatidylinositol-calcium second messenger system. The rank order of affinity of this receptor to tachykinins is:substance K > neuromedin-K > substance P""",dcs:CellularCompartmentCellMembrane,398,21928731,P21452,AB065731,TACR2,11527,bio/NK2R_HUMAN,bio/hg19_TACR2,bio/hg38_TACR2
HMDBP07844,dcs:ProteinTypeUnknown,"""Involved in G-protein coupled receptor protein signaling pathway""","""This is a receptor for the tachykinin neuropeptide neuromedin-K (neurokinin B). It is associated with G proteins that activate a phosphatidylinositol-calcium second messenger system. The rank order of affinity of this receptor to tachykinins is:neuromedin-K > substance K > substance P""",dcs:CellularCompartmentCellMembrane,465,,P29371,M89473,TACR3,11528,bio/NK3R_HUMAN,bio/hg19_TACR3,bio/hg38_TACR3
HMDBP07845,dcs:ProteinTypeUnknown,"""Involved in ionotropic glutamate receptor activity""","""NMDA receptor subtype of glutamate-gated ion channels with reduced single-channel conductance, low calcium permeability and low voltage-dependent sensitivity to magnesium. Mediated by glycine. May play a role in the development of dendritic spines. May play a role in PPP2CB-NMDAR mediated signaling mechanism""",dcs:CellularCompartmentCellMembrane,1115,17530177,Q8TCU5,AF416558,GRIN3A,16767,bio/NMD3A_HUMAN,bio/hg19_GRIN3A,bio/hg38_GRIN3A
HMDBP07846,dcs:ProteinTypeUnknown,"""Involved in calcium ion binding""","""Calcium-dependent NADPH oxidase that generates superoxide. Also functions as a calcium-dependent proton channel and may regulate redox-dependent processes in lymphocytes and spermatozoa. May play a role in cell growth and apoptosis""",dcs:CellularCompartmentMembrane,765,296278229,Q96PH1,NM_024505.3,NOX5,14874,bio/NOX5_HUMAN,bio/hg19_NOX5,bio/hg38_NOX5
HMDBP07847,dcs:ProteinTypeUnknown,"""Involved in G-protein coupled receptor protein signaling pathway""","""Receptor for NPAF (A-18-F-amide) and NPFF (F-8-F-amide) neuropeptides, also known as morphine-modulating peptides. Can also be activated by a variety of naturally occurring or synthetic FMRF-amide like ligands. This receptor mediates its action by association with G proteins that activate a phosphatidylinositol- calcium second messenger system""",dcs:CellularCompartmentCellMembrane,430,11125702,Q9GZQ6,AB040104,NPFFR1,17425,bio/NPFF1_HUMAN,bio/hg19_NPFFR1,bio/hg38_NPFFR1
HMDBP07848,dcs:ProteinTypeUnknown,"""Involved in G-protein coupled receptor protein signaling pathway""","""Receptor for NPAF (A-18-F-amide) and NPFF (F-8-F-amide) neuropeptides, also known as morphine-modulating peptides. Can also be activated by a variety of naturally occurring or synthetic FMRF-amide like ligands. This receptor mediates its action by association with G proteins that activate a phosphatidylinositol- calcium second messenger system""",dcs:CellularCompartmentCellMembrane,522,4530469,Q9Y5X5,AF119815,NPFFR2,4525,bio/NPFF2_HUMAN,bio/hg19_NPFFR2,bio/hg38_NPFFR2
HMDBP07849,dcs:ProteinTypeUnknown,"""Involved in metal ion binding""","""May mediate uptake of degraded synaptic material which could play an important role in synaptic remodeling. Can mediate the neuronal and glial uptake of the snake venom toxin taipoxin""",dcs:CellularCompartmentCytoplasmicVesicle,432,193785332,Q15818,AK127335,NPTX1,7952,bio/NPTX1_HUMAN,bio/hg19_NPTX1,bio/hg38_NPTX1
HMDBP07850,dcs:ProteinTypeUnknown,"""Involved in metal ion binding""","""Likely to play role in the modification of cellular properties that underlie long-term plasticity. Binds to agar matrix in a calcium-dependent manner""",dcs:CellularCompartmentSecreted,431,37574283,P47972,AC074121,NPTX2,7953,bio/NPTX2_HUMAN,bio/hg19_NPTX2,bio/hg38_NPTX2
HMDBP07851,dcs:ProteinTypeUnknown,"""Involved in metal ion binding""","""nan""",dcs:CellularCompartmentSecreted,478,61966763,Q96A99,,PTX4,14171,bio/PTX4_HUMAN,bio/hg19_PTX4,bio/hg38_PTX4
HMDBP07852,dcs:ProteinTypeUnknown,"""Involved in metal ion binding""","""nan""",dcs:CellularCompartmentMembrane,500,168985102,O95502,AL008583,NPTXR,7954,bio/NPTXR_HUMAN,bio/hg19_NPTXR,bio/hg38_NPTXR
HMDBP07853,dcs:ProteinTypeUnknown,"""Involved in G-protein coupled receptor protein signaling pathway""","""Receptor for the tridecapeptide neurotensin. It is associated with G proteins that activate a phosphatidylinositol- calcium second messenger system""",dcs:CellularCompartmentCellMembrane,418,66347257,P30989,AL035669,NTSR1,8039,bio/NTR1_HUMAN,bio/hg19_NTSR1,bio/hg38_NTSR1
HMDBP07854,dcs:ProteinTypeUnknown,"""Involved in G-protein coupled receptor protein signaling pathway""","""Receptor for the tridecapeptide neurotensin. It is associated with G proteins that activate a phosphatidylinositol- calcium second messenger system""",dcs:CellularCompartmentCellMembrane,410,3901028,O95665,Y10148,NTSR2,8040,bio/NTR2_HUMAN,bio/hg19_NTSR2,bio/hg38_NTSR2
HMDBP07855,dcs:ProteinTypeUnknown,"""Involved in calcium ion binding""","""Major calcium-binding protein of the Golgi. May have a role in calcium homeostasis""",dcs:CellularCompartmentCytoplasm,461,189067873,Q02818,AK315422,NUCB1,8043,bio/NUCB1_HUMAN,bio/hg19_NUCB1,bio/hg38_NUCB1
HMDBP07856,dcs:ProteinTypeUnknown,"""Involved in G-protein coupled receptor protein signaling pathway""","""Inhibits neurotransmitter release by reducing calcium ion currents and increasing potassium ion conductance. Receptor for dynorphins. May play a role in arousal and regulation of autonomic and neuroendocrine functions""",dcs:CellularCompartmentCellMembrane,380,20379020,P41145,AF498922,OPRK1,8154,bio/OPRK_HUMAN,bio/hg19_OPRK1,bio/hg38_OPRK1
HMDBP07857,dcs:ProteinTypeUnknown,"""Involved in C-8 sterol isomerase activity""","""Functions in lipid transport from the endoplasmic reticulum and is involved in a wide array of cellular functions probably through regulation of the biogenesis of lipid microdomains at the plasma membrane. Involved in the regulation of different receptors it plays a role in BDNF signaling and EGF signaling. Also regulates ion channels like the potassium channel and could modulate neurotransmitter release. Plays a role in calcium signaling through modulation together with ANK2 of the ITP3R-dependent calcium efflux at the endoplasmic reticulum. Plays a role in several other cell functions including proliferation, survival and death. Originally identified for its ability to bind various psychoactive drugs it is involved in learning processes, memory and mood alteration""",dcs:CellularCompartmentCellMembrane,223,,Q99720,U75283,SIGMAR1,8157,bio/SGMR1_HUMAN,bio/hg19_SIGMAR1,bio/hg38_SIGMAR1
